tool	ground_truth_percentile	TPR_annotated	TPR_unannotated	TPR_all	FDR_all	F1_all
ESPRESSO + StringTie2	66	0.9447115384615384	0.6211180124223602	0.892245720040282	0.01991150442477876	0.934106483921982
ESPRESSO + StringTie2	69	0.9538274605103281	0.672514619883041	0.9054325955734407	0.028077753779697623	0.9375
ESPRESSO + StringTie2	72	0.9622195985832349	0.7891156462585034	0.9366197183098591	0.014814814814814815	0.9602888086642599
ESPRESSO + StringTie2	75	0.9711884753901561	0.75625	0.9365558912386707	0.010638297872340425	0.9622348680807036
ESPRESSO + StringTie2	78	0.9714964370546318	0.8421052631578947	0.9517102615694165	0.013555787278415016	0.9687660010240655
ESPRESSO + StringTie2	81	0.9742990654205608	0.8613138686131386	0.9587109768378651	0.012448132780082987	0.972917731221257
ESPRESSO + StringTie2	84	0.9859484777517564	0.8428571428571429	0.96579476861167	0.010309278350515464	0.9775967413441955
ESPRESSO + StringTie2	87	0.9869668246445498	0.8666666666666667	0.9688128772635815	0.010277492291880781	0.9791560752414845
ESPRESSO + StringTie2	90	0.9930955120828538	0.8548387096774194	0.9758308157099698	0.006153846153846154	0.9847560975609756
ESPRESSO + StringTie2	93	0.9954597048808173	0.831858407079646	0.9768611670020121	0.005122950819672131	0.9857868020304569
ESPRESSO + StringTie2	99	0.9976553341148886	0.8865248226950354	0.9818913480885312	0.006109979633401222	0.9878542510121457
FLAIR	0	0.12309644670050761	0.043689320388349516	0.10663983903420524	0.009345794392523364	0.19255222524977295
FLAIR	3	0.11357702349869452	0.06578947368421052	0.10261569416498995	0.0	0.18613138686131386
FLAIR	6	0.11984536082474227	0.04608294930875576	0.10372608257804633	0.0	0.18795620437956204
FLAIR	9	0.2214765100671141	0.08032128514056225	0.18611670020120724	0.015957446808510637	0.3130287648054145
FLAIR	12	0.2677595628415301	0.1183206106870229	0.2283702213279678	0.013043478260869565	0.3709150326797386
FLAIR	15	0.3544973544973545	0.13924050632911392	0.3031218529707956	0.44871794871794873	0.39116309291747886
FLAIR	18	0.39580602883355176	0.15151515151515152	0.33903420523138833	0.3927927927927928	0.43511943189154295
FLAIR	21	0.4525065963060686	0.2170212765957447	0.39677744209466265	0.30755711775043937	0.5044814340588989
FLAIR	24	0.44718792866941015	0.15849056603773584	0.3702213279678068	0.2727272727272727	0.49066666666666664
FLAIR	27	0.5669398907103825	0.1984732824427481	0.46981891348088534	0.2528	0.576899320568252
FLAIR	30	0.582312925170068	0.24806201550387597	0.4954682779456193	0.17587939698492464	0.6188679245283019
FLAIR	33	0.6366013071895424	0.25327510917030566	0.5482897384305835	0.2323943661971831	0.6396713615023474
FLAIR	36	0.643979057591623	0.24017467248908297	0.5508559919436052	0.2106782106782107	0.6488730723606169
FLAIR	39	0.6715817694369973	0.2903225806451613	0.5764587525150905	0.2672634271099744	0.6452702702702703
FLAIR	42	0.6425806451612903	0.3013698630136986	0.5674044265593562	0.20226308345120225	0.6631393298059964
FLAIR	45	0.720253164556962	0.3251231527093596	0.6394763343403826	0.15894039735099338	0.7265446224256293
FLAIR	48	0.7220125786163522	0.2663316582914573	0.630784708249497	0.1527027027027027	0.7231833910034602
FLAIR	51	0.7532467532467533	0.4125560538116592	0.676737160120846	0.22669735327963175	0.7218045112781954
FLAIR	54	0.7334963325183375	0.2784090909090909	0.6529175050301811	0.18158890290037832	0.7263570229434807
FLAIR	57	0.7833125778331258	0.29842931937172773	0.6901408450704225	0.1872037914691943	0.7464635473340587
FLAIR	60	0.7755359394703657	0.3	0.6797583081570997	0.19451073985680192	0.7373020207536866
FLAIR	63	0.7830303030303031	0.3668639053254438	0.7122736418511066	0.19818799546998866	0.7543953116675546
FLAIR	66	0.7896634615384616	0.2484472049689441	0.701913393756294	0.18859138533178113	0.7526997840172787
FLAIR	69	0.8165249088699879	0.32748538011695905	0.7323943661971831	0.20955483170466885	0.760313315926893
FLAIR	72	0.7792207792207793	0.3333333333333333	0.7132796780684104	0.20782122905027933	0.7506617257808365
FLAIR	75	0.8007202881152461	0.25	0.7119838872104733	0.18076477404403243	0.7618534482758621
FLAIR	78	0.7612826603325415	0.25	0.6830985915492958	0.23536036036036037	0.7215727948990436
FLAIR	81	0.7126168224299065	0.32116788321167883	0.6586102719033232	0.23149236192714454	0.7093275488069414
FLAIR	84	0.7224824355971897	0.2357142857142857	0.6539235412474849	0.28017718715393136	0.6852925672113864
FLAIR	87	0.659952606635071	0.3	0.6056338028169014	0.3251121076233184	0.6383881230116649
FLAIR	90	0.570771001150748	0.21774193548387097	0.526686807653575	0.37440191387559807	0.5718972115910333
FLAIR	93	0.44948921679909193	0.168141592920354	0.41750503018108653	0.463130659767141	0.46972269383135257
FLAIR	99	0.36811254396248533	0.14184397163120568	0.33601609657947684	0.5468113975576662	0.3859041016753322
FLAIR + StringTie2	0	0.13071065989847716	0.043689320388349516	0.11267605633802817	0.008849557522123894	0.2023486901535682
FLAIR + StringTie2	3	0.11488250652741515	0.06140350877192982	0.10261569416498995	0.009708737864077669	0.18596171376481313
FLAIR + StringTie2	6	0.11855670103092783	0.05069124423963134	0.10372608257804633	0.009615384615384616	0.18778486782133091
FLAIR + StringTie2	9	0.21476510067114093	0.08835341365461848	0.18309859154929578	0.016216216216216217	0.3087362171331637
FLAIR + StringTie2	12	0.26229508196721313	0.11450381679389313	0.22334004024144868	0.008928571428571428	0.3645320197044335
FLAIR + StringTie2	15	0.3558201058201058	0.13924050632911392	0.3041289023162135	0.4747826086956522	0.3852040816326531
FLAIR + StringTie2	18	0.3944954128440367	0.1341991341991342	0.33400402414486924	0.4018018018018018	0.4286636539703034
FLAIR + StringTie2	21	0.44591029023746703	0.20425531914893616	0.38872104733131924	0.3204225352112676	0.4945547725816784
FLAIR + StringTie2	24	0.4567901234567901	0.1660377358490566	0.37927565392354123	0.28053435114503816	0.49670619235836627
FLAIR + StringTie2	27	0.5792349726775956	0.1984732824427481	0.4788732394366197	0.24921135646687698	0.5847665847665847
FLAIR + StringTie2	30	0.5795918367346938	0.2441860465116279	0.49244712990936557	0.1711864406779661	0.6178142766898295
FLAIR + StringTie2	33	0.6326797385620915	0.2576419213973799	0.5462776659959758	0.24896265560165975	0.6324985439720443
FLAIR + StringTie2	36	0.6557591623036649	0.22270742358078602	0.5558912386706949	0.21923620933521923	0.6494117647058824
FLAIR + StringTie2	39	0.67828418230563	0.2701612903225806	0.5764587525150905	0.2846441947565543	0.6384401114206129
FLAIR + StringTie2	42	0.6490322580645161	0.2465753424657534	0.5603621730382293	0.1985611510791367	0.6595618709295441
FLAIR + StringTie2	45	0.7177215189873418	0.22167487684729065	0.6163141993957704	0.16164383561643836	0.710388856645386
FLAIR + StringTie2	48	0.7371069182389937	0.20100502512562815	0.6297786720321932	0.14945652173913043	0.7236994219653179
FLAIR + StringTie2	51	0.7688311688311689	0.2645739910313901	0.6555891238670695	0.20512820512820512	0.7185430463576159
FLAIR + StringTie2	54	0.7371638141809291	0.1875	0.6398390342052314	0.1497326203208556	0.730195177956372
FLAIR + StringTie2	57	0.800747198007472	0.2094240837696335	0.6871227364185111	0.17412333736396615	0.7501372872048325
FLAIR + StringTie2	60	0.7944514501891551	0.21	0.676737160120846	0.18446601941747573	0.7396807925151349
FLAIR + StringTie2	63	0.7903030303030303	0.2485207100591716	0.6981891348088531	0.19861431870669746	0.7462365591397849
FLAIR + StringTie2	66	0.8004807692307693	0.2111801242236025	0.7049345417925479	0.16666666666666666	0.7637752318603382
FLAIR + StringTie2	69	0.8213851761846902	0.18128654970760233	0.7112676056338029	0.18828932261768083	0.7581769436997319
FLAIR + StringTie2	72	0.7992916174734357	0.17687074829931973	0.7072434607645876	0.19748858447488585	0.7518716577540107
FLAIR + StringTie2	75	0.8163265306122449	0.18125	0.7139979859013091	0.18223760092272204	0.7623655913978494
FLAIR + StringTie2	78	0.7779097387173397	0.17105263157894737	0.6851106639839034	0.1988235294117647	0.7386117136659436
FLAIR + StringTie2	81	0.7301401869158879	0.21897810218978103	0.6596173212487412	0.2174432497013142	0.7158469945355191
FLAIR + StringTie2	84	0.7400468384074942	0.09285714285714286	0.6488933601609658	0.2534722222222222	0.6942949407965554
FLAIR + StringTie2	87	0.6777251184834123	0.2	0.6056338028169014	0.3143507972665148	0.6431623931623932
FLAIR + StringTie2	90	0.5868814729574223	0.14516129032258066	0.5317220543806647	0.33668341708542715	0.5902738960313024
FLAIR + StringTie2	93	0.4869466515323496	0.10619469026548672	0.44366197183098594	0.43316195372750643	0.49774266365688485
FLAIR + StringTie2	99	0.3950762016412661	0.11347517730496454	0.3551307847082495	0.5190735694822888	0.4085648148148148
IsoQuant	0	0.5038071065989848	0.0048543689320388345	0.40040241448692154	0.0	0.5718390804597702
IsoQuant	3	0.5104438642297651	0.0043859649122807015	0.39436619718309857	0.0	0.5656565656565656
IsoQuant	6	0.5051546391752577	0.009216589861751152	0.39677744209466265	0.0	0.5681326604181687
IsoQuant	9	0.6161073825503356	0.04819277108433735	0.4738430583501006	0.0	0.6430034129692833
IsoQuant	12	0.7295081967213115	0.05343511450381679	0.5513078470824949	0.0	0.7107652399481194
IsoQuant	15	0.791005291005291	0.05063291139240506	0.6143001007049346	0.0016366612111292963	0.7605985037406484
IsoQuant	18	0.7916120576671035	0.09523809523809523	0.6297786720321932	0.006349206349206349	0.770935960591133
IsoQuant	21	0.8601583113456465	0.13191489361702127	0.6878147029204431	0.007267441860465116	0.8126115407495539
IsoQuant	24	0.8491083676268861	0.16226415094339622	0.6659959758551308	0.0030120481927710845	0.7985524728588661
IsoQuant	27	0.8920765027322405	0.183206106870229	0.7052313883299799	0.0	0.8271386430678466
IsoQuant	30	0.9156462585034013	0.1937984496124031	0.7280966767371602	0.002758620689655172	0.8416763678696159
IsoQuant	33	0.9267973856209151	0.27510917030567683	0.7766599597585513	0.007712082262210797	0.871331828442438
IsoQuant	36	0.918848167539267	0.33624454148471616	0.7844914400805639	0.007643312101910828	0.876265466816648
IsoQuant	39	0.9557640750670241	0.4032258064516129	0.817907444668008	0.006112469437652812	0.8973509933774835
IsoQuant	42	0.9380645161290323	0.4155251141552511	0.8229376257545271	0.008484848484848486	0.8993952721275426
IsoQuant	45	0.970886075949367	0.43349753694581283	0.8610271903323263	0.006968641114982578	0.9223300970873787
IsoQuant	48	0.9635220125786164	0.4271356783919598	0.8561368209255533	0.011614401858304297	0.9175202156334232
IsoQuant	51	0.9636363636363636	0.4618834080717489	0.850956696878147	0.0058823529411764705	0.9169831795984807
IsoQuant	54	0.9584352078239609	0.5340909090909091	0.8832997987927566	0.009029345372460496	0.9340425531914893
