tool	downsample_percentage	ground_truth_percentile	median_rel_diff_annotated	median_rel_diff_all	mean_rel_diff_annotated	mean_rel_diff_all
ESPRESSO	30	87	0.21397362939891182	0.22106549558176555	0.3450327363696325	0.3986332980140718
ESPRESSO	30	90	0.22251966422322614	0.2249157144366278	0.3179313474045975	0.3679189449021265
ESPRESSO	30	93	0.18706482099586746	0.1879263598367427	0.27339813927370904	0.32635162259450484
ESPRESSO	30	99	0.19391286758087845	0.1964147229288923	0.24650237577779877	0.2845183925100505
FLAIR	10	0	2.0	2.0	1.9241891720720072	1.9215299296408355
FLAIR	10	3	2.0	2.0	1.9196167558698518	1.9269073963652839
FLAIR	10	6	2.0	2.0	1.9229628929191915	1.9261837675027351
FLAIR	10	9	2.0	2.0	1.7987634672427788	1.804978799733517
FLAIR	10	12	2.0	2.0	1.7298198362866732	1.7504777400973393
FLAIR	10	15	2.0	2.0	1.5905640329474662	1.623735297331331
FLAIR	10	18	2.0	2.0	1.4982978306304975	1.533204447125477
FLAIR	10	21	2.0	2.0	1.4033661594694895	1.4385347753190798
FLAIR	10	24	2.0	2.0	1.3933985867112437	1.4315350067713821
FLAIR	10	27	1.3599538887534968	1.8647049787495327	1.2421371252379991	1.307089531358596
FLAIR	10	30	1.1844852333408766	1.630360641717145	1.2240666562126998	1.2748083374533696
FLAIR	10	33	0.9583091580822234	1.1643246592306722	1.1599067999409558	1.212387096445352
FLAIR	10	36	0.8956352739328233	0.9756776542095356	1.105270557802318	1.1530667513155304
FLAIR	10	39	0.7530324371971142	0.8874244859872484	1.040581611654914	1.0991851641018782
FLAIR	10	42	0.8154589058265971	0.9359762989192029	1.056431919951381	1.118397100128522
FLAIR	10	45	0.706575668213027	0.7949123200932119	0.9829779689556377	1.0440471909734024
FLAIR	10	48	0.6919155039522875	0.7837524712287345	0.9788599608545046	1.0384853890841803
FLAIR	10	51	0.6627448910656396	0.7356742507771602	0.932905641080907	0.9966506146925044
FLAIR	10	54	0.6887837690401096	0.7517747308665781	0.964585066862511	1.023835822556726
FLAIR	10	57	0.6076763902109356	0.6658423984691935	0.8824637965427626	0.9486878997801155
FLAIR	10	60	0.5816499517834774	0.6421644627891386	0.877997056807614	0.9453218778194765
FLAIR	10	63	0.5895140164481928	0.6213875742366618	0.8670409526614412	0.9359252570118894
FLAIR	10	66	0.5506507535089926	0.5878658458418379	0.8629680912060222	0.9278452711314087
FLAIR	10	69	0.532931792555994	0.5622674981586695	0.8372678757726407	0.8847490501348712
FLAIR	10	72	0.559068410793929	0.5876170325343397	0.8658531561118412	0.9201769553456
FLAIR	10	75	0.5307363784605078	0.5576116177373067	0.8370721597070938	0.9022443817293464
FLAIR	10	78	0.5468909210474429	0.5657178103822511	0.8984365748758828	0.958364681043743
